person_name,gender,age,net_worth,salary,profession,nationality,key_facts
Tadashi Yanai,Male,"Feb 7, 1949 (72 years old)",$42 Billion,,Businessperson,Japan,
John Mars,Male,"Oct 15, 1935 (85 years old)",$42 Billion,,,United States of America,
Jacqueline Mars,Female,"Oct 10, 1939 (82 years old)",$42 Billion,,Businessperson,United States of America,
Dan Gilbert,Male,"Jan 17, 1962 (59 years old)",$40 Billion,,"Entrepreneur, Businessperson, Investor",United States of America,
Qin Yinglin,,,$40 Billion,,,,
Li Ka-shing,Male,"Jul 29, 1928 (93 years old)",$34 Billion,,"Businessperson, Investor, Entrepreneur",Canada,
Miriam Adelson,,"Oct 10, 1945 (76 years old)",$34 Billion,,,"American, Israeli",
Colin Huang,,,$33 Billion,,,,
Len Blavatnik,Male,"Jun 14, 1957 (64 years old)",$32 Billion,,"Businessperson, Entrepreneur, Financier, Film Producer",United Kingdom,
David Thomson,Male,"Jun 12, 1957 (64 years old)",$32 Billion,,Businessperson,Canada,
Gina Rinehart,Female,"Feb 9, 1954 (67 years old)",$31 Billion,,Businessperson,Australia,
Sheikh Mansour,,"Nov 20, 1970 (50 years old)",$30 Billion,,,Emirati,
Michael Dell,Male,"Feb 23, 1965 (56 years old)",$30 Billion,,"Entrepreneur, Businessperson",United States of America,
Sultan of,Male,"Jul 15, 1946 (75 years old)",$30 Billion,,Politician,Brunei,"The Beverly Hills Hotel (Los Angeles). Hotel Bel-Air (Los Angeles). The Dorchester (London). 45 Park Lane (London). Coworth Park (Ascot, UK). Le Meurice (Paris). Hotel Plaza Athénée (Paris). Hotel Principe di Savoia (Milan). "
Maha Vajiralongkorn,,,$30 Billion,,,,
Vladimir Potanin,Male,"Jan 3, 1961 (60 years old)",$30 Billion,,Businessperson,Russia,
Giovanni Ferrero,Male,,$28 Billion,,,,
William Ding,Male,"Oct, 1971 (50 years old)",$26 Billion,,Businessperson,China,
Shiv Nadar,,"Jul 14, 1945 (76 years old)",$25.9 Billion,,"Founder of HCL Technologies, Founder of SSN College of Engineering, Founder of Shiv Nadar University",,
Gerard Wertheimer,,,$25 Billion,,,,
Stefan Persson,Male,"Oct 4, 1947 (74 years old)",$25 Billion,,"Businessperson, Business magnate",Sweden,
Eric Yuan,,"Feb 20, 1970 (51 years old)",$25 Billion,,Businessman,,
Joseph Safra,Male,1939,$25 Billion,,Businessperson,Brazil,
Forrest Mars,Male,"Mar 21, 1904 - Jul 1, 1999 (95 years old)",$24.4 Billion,,Businessperson,United States of America,
Takemitsu Takizaki,,"Jun 10, 1945 (76 years old)",$24 Billion,,"Honorary chairman, Keyence",Japanese,
Vladimir Lisin,Male,"May 7, 1956 (65 years old)",$24 Billion,,Businessperson,Russia,
Pierre Omidyar,Male,"Jun 21, 1967 (54 years old)",$24 Billion,,"Entrepreneur, Programmer, Businessperson",United States of America,
Leonid Mikhelson,,,$24 Billion,,,,
Yang Huiyan,Female,1981,$24 Billion,,,,
He Xiangjian,,,$24 Billion,,,,
Forrest Mars,Male,"Aug 16, 1931 (90 years old)",$23.4 Billion,,Businessperson,United States of America,Forrest Mars Sr. Net Worth. Jacqueline Mars Net Worth. John Mars Net Worth. 
Jorge Paulo,Male,"Aug 26, 1939 (82 years old)",$23 Billion,,Businessperson,Brazil,
Eric Schmidt,Male,"Apr 27, 1955 (66 years old)",$23 Billion,,"Electrical engineer, Engineer, Businessperson, Software Engineer",United States of America,
Masayoshi Son,Male,"Aug 11, 1957 (64 years old)",$30 Billion,,"Entrepreneur, Businessperson",Japan,
Ken Griffin,Male,"Oct 15, 1968 (53 years old)",$22 Billion,,"Entrepreneur, Businessperson",United States of America,"Started out investing in his dorm with $265k raised from friends and family. Had over $1m by the time he graduated. Personally lost $1b in 2008 crisis, his firm lost $9b. Today his company, which he owns entirely, manages $30 billion. Made $1.4 billion in 2018. Has spent $750 million on personal real estate since 2013. In 2017 he donated $125m to the University of Chicago. In 2016 he spent $500m on TWO paintings. Holds the record for most expensive home purchase in Illinois, Florida, New York and the United States. His $200m purchase in Palm Beach, FL is just land. Still needs to build a house!. His $240m NYC purchase is the top four un-furnished floors of a building. Still needs to spend millions on furniture and fixtures (sinks, stoves, refrigerators). "
Laurene Powell,Female,"Nov 6, 1963 (57 years old)",$22 Billion,,Entrepreneur,United States of America,Received 5.5m Apple shares when Steve Jobs died in 2011. Owns 154m Apple shares today after two stock splits. Those Apple shares are worth around $20b today. Those Apple shares generate $160m in cash dividends annually. Inherited 138m shares of Disney when Steve died. Those Disney shares were worth $8b in 2011. Sold Half her Disney stake for $7b in 2017. Remaining Disney stake is worth $20b today. Her Disney shares produce $120m in annual dividends. 
James Simons,Male,1938,$22 Billion,,"Mathematician, Physicist, Businessperson",United States of America,
Wang Wei,,,$22 Billion,,,,
Dieter Schwarz,Male,"Sep 24, 1939 (82 years old)",$22 Billion,,Businessperson,Germany,
Leonard Lauder,Male,"Mar 19, 1933 (88 years old)",$21 Billion,,,United States of America,
Vagit Alekperov,Male,"Sep 1, 1950 (71 years old)",$21 Billion,,Businessperson,Azerbaijan,
Alain Wertheimer,Male,1949,$21 Billion,,Businessperson,France,
Dustin Moskovitz,Male,"May 22, 1984 (37 years old)",$21 Billion,,"Programmer, Businessperson",United States of America,
Zhang Zhidong,Male,"Sep 4, 1837 - Oct 5, 1909 (72 years old)",$21 Billion,,Politician,,
Salman bin,Male,1935-12-31,$20 Billion,,Politician,Saudi Arabia,
Carl Icahn,Male,"Feb 16, 1936 (85 years old)",$20 Billion,,"Businessperson, Financier, Investor",United States of America,
Sir Evelyn,Male,"Aug 29, 1931 (90 years old)",$20 Billion,,"Banker, Financier",England,
James Dyson,Male,"May 2, 1947 (74 years old)",$20 Billion,,"Industrial designer, Inventor, Engineer, Designer",United Kingdom,
Dietrich Mateschitz,Male,"May 20, 1944 (77 years old)",$20 Billion,,"Businessperson, Entrepreneur",Austria,
Rupert Murdoch,Male,"Mar 11, 1931 (90 years old)",$20 Billion,,"Businessperson, Entrepreneur",,
John Menard,Male,"Jan 22, 1940 (81 years old)",$20 Billion,,Entrepreneur,United States of America,
Prince Al,Male,"Mar 7, 1955 (66 years old)",$20 Billion,,"Businessperson, Investor",Saudi Arabia,
Elaine Marshall,Female,,$20 Billion,,,,
Lee Shau,Male,"Jan 29, 1928 (93 years old)",$20 Billion,,"Businessperson, Real estate development",China,
Zhong Huijuan,,,$20 Billion,,,,
Leonardo Del,Male,"May 22, 1935 (86 years old)",$20 Billion,,Businessperson,Italy,
Alexey Mordashov,Male,"Sep 26, 1965 (56 years old)",$20 Billion,,"Businessperson, Investor",Russia,
Gennady Timchenko,Male,"Nov 9, 1952 (68 years old)",$20 Billion,,"Businessperson, Trader",Russia,
Theo Albrecht,Male,"Mar 28, 1922 - Jul 24, 2010 (88 years old)",$19.6 Billion,,"Entrepreneur, Businessperson",Germany,
Susanne Klatten,Female,"Apr 28, 1962 (59 years old)",$19 Billion,,Businessperson,Germany,
James Ratcliffe,Male,"Oct 18, 1952 (68 years old)",$19 Billion,,"Chairman and CEO, Ineos, Owner of OGC Nice",British,
Petr Kellner,Male,"May 20, 1964 - Mar 27, 2021 (56 years old)",$19 Billion,,"Businessperson, Financier, Entrepreneur",Czech Republic,
Pallonji Mistry,Male,1929,$19 Billion,,Business magnate,India,
Abigail Johnson,Female,"Dec 19, 1961 (59 years old)",$19 Billion,,"Entrepreneur, Businessperson",United States of America,
Stephen Schwarzman,Male,"Feb 14, 1947 (74 years old)",$18.4 Billion,,"Entrepreneur, Businessperson, Investor, Financier",United States of America,
Lukas Walton,,,$18 Billion,,Heir,American,
Lakshmi Mittal,Male,"Sep 2, 1950 (71 years old)",$18 Billion,,"Entrepreneur, Businessperson, Investor",India,
Sheikh Khalifa,Male,"Jan 25, 1948 (73 years old)",$18 Billion,,Politician,United Arab Emirates,
Roman Abramovich,Male,"Oct 24, 1966 (54 years old)",$18 Billion,,"Politician, Businessperson, Investor",Russia,
David &,Male,,$18 Billion,,Businessperson,United Kingdom,
Serge Dassault,Male,"Apr 4, 1925 (96 years old)",$17.3 Billion,,"Entrepreneur, Politician, Businessperson",France,
